time,G,avgG,stdG,D,avgD,stdD
9,0,0.45,0.50,0,0.45,0.50
10,1,0.55,0.50,1,0.55,0.50
11,1,0.64,0.48,1,0.64,0.48
12,1,0.73,0.45,1,0.73,0.45
13,1,0.82,0.39,1,0.82,0.39
14,1,0.91,0.29,1,0.91,0.29
15,1,1.00,0.00,1,1.00,0.00
16,1,1.00,0.00,1,1.00,0.00
17,1,1.09,0.29,1,1.09,0.29
18,1,1.18,0.39,1,1.18,0.39
19,1,1.27,0.45,1,1.27,0.45
20,1,1.36,0.48,1,1.36,0.48
21,1,1.45,0.50,1,1.45,0.50
22,2,1.55,0.50,2,1.55,0.50
23,2,1.64,0.48,2,1.64,0.48
24,2,1.73,0.45,2,1.73,0.45
25,2,1.82,0.39,2,1.82,0.39
26,2,1.91,0.29,2,1.91,0.29
27,2,2.00,0.00,2,2.00,0.00
28,2,2.00,0.00,2,2.00,0.00
29,2,2.09,0.29,2,2.09,0.29
30,2,2.18,0.39,2,2.18,0.39
31,2,2.27,0.45,2,2.27,0.45
32,2,2.36,0.48,2,2.36,0.48
33,2,2.55,0.66,2,2.55,0.66
34,3,2.73,0.75,3,2.73,0.75
35,3,2.91,0.79,3,2.91,0.79
36,3,3.09,0.79,3,3.09,0.79
37,3,3.27,0.75,3,3.27,0.75
38,4,3.45,0.66,4,3.45,0.66
39,4,3.73,0.62,4,3.73,0.62
40,4,3.91,0.67,4,3.91,0.67
41,4,4.09,0.67,4,4.09,0.67
42,4,4.36,0.77,4,4.36,0.77
43,4,4.64,0.77,4,4.64,0.77
44,5,4.91,1.00,5,4.82,0.83
45,5,5.09,1.00,5,5.00,0.85
46,5,5.36,1.07,5,5.18,0.83
47,6,5.55,0.99,6,5.36,0.77
48,6,5.73,0.86,6,5.55,0.66
49,7,6.00,0.74,6,5.82,0.57
50,6,6.18,0.72,6,6.00,0.60
51,7,6.45,0.78,6,6.27,0.75
52,6,6.82,0.94,6,6.64,0.98
53,6,7.18,1.27,6,7.00,1.35
54,7,7.64,1.61,7,7.45,1.72
55,7,8.00,1.86,7,7.91,1.93
56,8,8.55,2.06,8,8.45,2.15
57,9,9.09,2.35,9,9.09,2.35
58,10,9.73,2.38,10,9.73,2.38
59,11,10.45,2.35,11,10.45,2.35
61,11,11.09,2.27,11,11.09,2.27
62,12,11.73,2.00,12,11.73,2.00
63,13,12.36,1.82,13,12.36,1.82
64,13,12.91,1.62,13,12.91,1.62
65,14,13.55,1.72,14,13.55,1.72
66,14,14.09,1.78,14,14.09,1.78
67,14,14.45,1.50,14,14.45,1.50
68,15,14.73,1.29,15,14.73,1.29
69,15,15.00,1.21,15,15.00,1.21
70,17,15.27,1.05,17,15.27,1.05
71,17,15.45,0.99,17,15.45,0.99
72,15,15.73,0.96,15,15.73,0.96
73,15,16.09,1.00,15,16.09,1.00
74,16,16.45,1.23,16,16.45,1.23
75,16,16.91,1.50,16,16.91,1.50
76,16,17.18,1.75,16,17.18,1.75
77,17,17.36,1.82,17,17.36,1.82
78,18,17.82,1.80,18,17.82,1.80
79,19,18.36,1.77,19,18.36,1.77
80,20,18.91,1.88,20,18.91,1.88
81,20,19.45,1.83,20,19.45,1.83
82,19,20.00,1.60,19,20.00,1.60
83,20,20.55,1.50,20,20.55,1.50
84,21,20.91,1.31,21,20.91,1.31
85,22,21.27,1.29,22,21.27,1.29
86,22,21.55,1.30,22,21.55,1.30
87,22,22.09,1.73,22,22.09,1.73
88,23,22.82,1.95,23,22.82,1.95
89,22,23.36,1.92,22,23.36,1.92
90,23,23.91,2.02,23,23.91,2.02
91,23,24.64,2.57,23,24.64,2.57
92,26,25.64,3.36,26,25.64,3.36
93,27,26.82,4.09,27,26.82,4.09
94,26,27.91,4.50,26,27.91,4.50
95,27,29.18,4.63,27,29.18,4.63
96,30,30.45,4.68,30,30.45,4.68
97,33,31.64,4.27,33,31.64,4.27
98,35,32.73,4.22,35,32.73,4.22
99,35,33.91,4.27,35,33.91,4.27
100,36,35.27,3.91,36,35.27,3.91
101,37,36.64,3.36,37,36.64,3.36
102,36,38.00,3.44,36,38.00,3.44
103,38,39.18,3.74,38,39.18,3.74
104,40,40.18,3.95,40,40.18,3.95
105,41,41.18,3.90,41,41.18,3.90
106,42,42.09,3.75,42,42.09,3.75
107,45,42.64,3.39,45,42.64,3.39
108,46,43.09,2.75,46,43.09,2.75
109,46,43.09,2.75,46,43.09,2.75
110,46,42.91,3.00,46,42.91,3.00
111,46,42.82,3.07,46,42.82,3.07
112,43,43.09,3.12,43,43.09,3.12
113,41,43.09,3.12,41,43.09,3.12
114,38,43.27,3.33,38,43.27,3.33
115,38,43.55,3.65,38,43.55,3.65
116,40,43.91,4.06,40,43.91,4.06
117,45,44.18,4.28,45,44.18,4.28
118,45,44.73,4.47,45,44.73,4.47
119,48,45.64,4.64,48,45.64,4.64
120,49,46.91,4.27,49,46.91,4.27
121,50,48.18,3.43,50,48.18,3.43
122,49,49.27,2.42,49,49.27,2.42
123,49,50.00,2.22,49,50.00,2.22
124,51,50.73,1.71,51,50.73,1.71
125,52,51.09,1.50,52,51.09,1.50
126,52,51.27,1.35,52,51.27,1.35
127,52,51.27,1.35,52,51.27,1.35
128,53,51.27,1.35,53,51.27,1.35
129,53,51.36,1.23,53,51.36,1.23
130,52,51.64,1.43,52,51.64,1.43
131,51,52.00,1.91,51,52.00,1.91
132,50,52.64,2.77,50,52.64,2.77
133,49,53.27,3.31,49,53.27,3.31
134,50,54.00,3.98,50,54.00,3.98
135,54,54.91,4.72,54,54.91,4.72
136,56,56.09,5.42,56,56.09,5.42
137,59,57.27,5.59,59,57.27,5.59
138,59,58.18,5.13,59,58.18,5.13
139,61,59.27,4.27,61,59.27,4.27
140,63,60.55,3.29,63,60.55,3.29
141,65,61.55,2.78,65,61.55,2.78
142,64,62.36,2.31,64,62.36,2.31
143,60,62.91,2.15,60,62.91,2.15
144,61,63.73,2.22,61,63.73,2.22
145,64,64.45,2.50,64,64.45,2.50
146,65,65.36,3.44,65,65.36,3.44
147,65,66.00,3.93,65,66.00,3.93
148,65,66.91,4.48,65,66.91,4.48
149,68,68.27,4.45,68,68.27,4.45
